Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
131646653,10/21/2021 13:34,10/21/2021 13:50,70540,961,1033,Ivy St & Walnut St   ,1041,Fifth Ave & S Bouquet St,Subscriber
131646943,10/21/2021 13:38,10/21/2021 14:02,70537,1440,1047,S 22nd St & E Carson St,1045,S 27th St & Sidney St. (Southside Works),Customer
131647418,10/21/2021 13:43,10/21/2021 13:50,70552,425,49391,E Liberty Blvd & Negley Ave,1024,S Negley Ave & Baum Blvd,Subscriber
131647462,10/21/2021 13:44,10/21/2021 14:26,70685,2527,49611,24th St & Smallman St,49611,24th St & Smallman St,Customer
131647492,10/21/2021 13:44,10/21/2021 13:49,70253,281,49271,S Craig St & 5th Ave,1037,Frew St & Schenley Dr,Subscriber
131647589,10/21/2021 13:45,10/21/2021 15:41,70573,6927,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
131647596,10/21/2021 13:45,10/21/2021 13:50,71227,296,49301,Centre Ave & N Craig St,1097,Tennyson Ave & Fifth Ave,Customer
131647685,10/21/2021 13:46,10/21/2021 13:57,70438,660,1048,S 18th St & Sidney St,,BIKE 70438,Customer
131647809,10/21/2021 13:48,10/21/2021 18:20,70198,16349,1033,Ivy St & Walnut St   ,49951,Butler St & 36th St,Customer
131647824,10/21/2021 13:48,10/21/2021 13:52,70230,254,,BIKE 70230,1061,33rd St & Penn Ave ,Customer
131648253,10/21/2021 13:53,10/21/2021 14:04,70542,647,49641,11th St & Penn Ave,1060,Penn Ave & 29th St,Subscriber
131648706,10/21/2021 13:59,10/21/2021 14:10,71230,628,1095,Schenley Dr & Forbes Ave (Schenley Plaza),1033,Ivy St & Walnut St   ,Subscriber
131648721,10/21/2021 13:59,10/21/2021 14:10,70978,626,1072,Glasshouse,1049,S 12th St & E Carson St,Customer
131649005,10/21/2021 14:03,10/21/2021 14:09,71207,326,1002,Third Ave & Wood St,1004,First Ave & B St (T Station),Subscriber
131649018,10/21/2021 14:03,10/21/2021 14:09,70224,363,1093,S Bouquet Ave & Sennott St,1038,Boulevard of the Allies & Parkview Ave,Subscriber
131649504,10/21/2021 14:09,10/21/2021 14:40,71204,1821,,BIKE 71204,,BIKE 71204,Subscriber
131649668,10/21/2021 14:12,10/21/2021 14:22,70068,589,1033,Ivy St & Walnut St   ,1026,Penn Ave & S Whitfield St,Customer
131649680,10/21/2021 14:12,10/21/2021 14:15,70761,162,1039,Atwood St & Bates St,1093,S Bouquet Ave & Sennott St,Subscriber
131649690,10/21/2021 14:12,10/21/2021 14:28,71205,956,1024,S Negley Ave & Baum Blvd,1066,N Homewood Ave & Finance St (Homewood Station),Subscriber
131649979,10/21/2021 14:16,10/21/2021 14:22,70857,366,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),,BIKE 70857,Customer
131650074,10/21/2021 14:18,10/21/2021 14:38,70985,1247,1020,42nd & Penn Ave.,1097,Tennyson Ave & Fifth Ave,Subscriber
131650218,10/21/2021 14:20,10/21/2021 14:32,70914,729,1072,Glasshouse,1072,Glasshouse,Subscriber
131650220,10/21/2021 14:20,10/21/2021 14:24,71173,226,1095,Schenley Dr & Forbes Ave (Schenley Plaza),1097,Tennyson Ave & Fifth Ave,Subscriber
131650511,10/21/2021 14:24,10/21/2021 14:28,70535,242,1094,O'Hara St & Desoto St,1097,Tennyson Ave & Fifth Ave,Subscriber
131650579,10/21/2021 14:25,10/21/2021 14:27,70989,124,1093,S Bouquet Ave & Sennott St,1095,Schenley Dr & Forbes Ave (Schenley Plaza),Subscriber
131650605,10/21/2021 14:25,10/21/2021 15:24,70618,3547,1024,S Negley Ave & Baum Blvd,1024,S Negley Ave & Baum Blvd,Subscriber
131650778,10/21/2021 14:28,10/21/2021 14:35,70902,417,1095,Schenley Dr & Forbes Ave (Schenley Plaza),49301,Centre Ave & N Craig St,Subscriber
131650829,10/21/2021 14:29,10/21/2021 14:37,70761,461,1093,S Bouquet Ave & Sennott St,1088,Frazier St & Dawson St,Subscriber
